baker,last_name,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Manisha,Parmar,27,Nursery nurse,Leicester,3,4,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,9,IN
Ryan,Chong,38,Photographer,Bristol,3,4,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",7,IN
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,4,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,4,IN
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,4,Black Forest Torte,Choca Blocka Mocha Meringue,8,OUT
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,4,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",1,STAR BAKER
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,4,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,4,NA,NA,NA,NA
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,4,NA,NA,NA,NA
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,5,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,3,IN
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,5,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,1,IN
Danny,Bryden,45,Intensive care consultant,Sheffield,3,5,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,7,IN
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,5,Four Pig Wellington,Sweet Potato Pie,6,IN
John,Whaite,22,Law student,Wigan,3,5,Venison and Haggis Wellington,Star-Spangled Pecan Pie,2,IN
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,5,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,4,IN
Manisha,Parmar,27,Nursery nurse,Leicester,3,5,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,5,OUT
Ryan,Chong,38,Photographer,Bristol,3,5,Curry Spiced Seabass Wellington,Key Lime Pie,8,STAR BAKER
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,5,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,5,NA,NA,NA,NA
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,5,NA,NA,NA,NA
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,5,NA,NA,NA,NA
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,6,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,3,IN
Danny,Bryden,45,Intensive care consultant,Sheffield,3,6,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",2,IN
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,6,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",7,IN
John,Whaite,22,Law student,Wigan,3,6,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,5,IN
Ryan,Chong,38,Photographer,Bristol,3,6,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",6,IN
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,6,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,4,IN
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,6,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",1,STAR BAKER
Manisha,Parmar,27,Nursery nurse,Leicester,3,6,NA,NA,NA,NA
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,6,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,6,NA,NA,NA,NA
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,6,NA,NA,NA,NA
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,6,NA,NA,NA,NA
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,7,Chelsea Bunskis,Black Forest Christmas Stollen,4,IN
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,7,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,5,IN
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,7,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,1,IN
John,Whaite,22,Law student,Wigan,3,7,Cherry and Almond Saffron Buns,Marzipan Stollen,3,IN
Ryan,Chong,38,Photographer,Bristol,3,7,Lardy Cakes,Char Siu Bao,6,OUT
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,7,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,7,OUT
Danny,Bryden,45,Intensive care consultant,Sheffield,3,7,Bakewell Chelsea Buns,European Christmas Wreath,2,STAR BAKER
Manisha,Parmar,27,Nursery nurse,Leicester,3,7,NA,NA,NA,NA
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,7,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,7,NA,NA,NA,NA
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,7,NA,NA,NA,NA
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,7,NA,NA,NA,NA
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,8,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,2,IN
Danny,Bryden,45,Intensive care consultant,Sheffield,3,8,Spiced Almond Drinks Crackers,Gingerbread Big Ben,4,IN
John,Whaite,22,Law student,Wigan,3,8,Asian Spice Crackers,Gingerbread Roman Coliseum,3,IN
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,8,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,5,OUT
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,8,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,1,STAR BAKER
Manisha,Parmar,27,Nursery nurse,Leicester,3,8,NA,NA,NA,NA
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,8,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,8,NA,NA,NA,NA
Ryan,Chong,38,Photographer,Bristol,3,8,NA,NA,NA,NA
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,8,NA,NA,NA,NA
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,8,NA,NA,NA,NA
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,8,NA,NA,NA,NA
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,9,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,3,IN
John,Whaite,22,Law student,Wigan,3,9,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,2,IN
Danny,Bryden,45,Intensive care consultant,Sheffield,3,9,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,4,OUT
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,9,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",1,STAR BAKER
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,9,NA,NA,NA,NA
Manisha,Parmar,27,Nursery nurse,Leicester,3,9,NA,NA,NA,NA
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,9,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,9,NA,NA,NA,NA
Ryan,Chong,38,Photographer,Bristol,3,9,NA,NA,NA,NA
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,9,NA,NA,NA,NA
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,9,NA,NA,NA,NA
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,9,NA,NA,NA,NA
Brendan,Lynch,63,Recruitment consultant,Sutton Coldfield,3,10,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,2,Runner-up
James,Morton,21,Medical student,"Hillswick, Shetland Islands",3,10,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,1,Runner-up
John,Whaite,22,Law student,Wigan,3,10,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,2,WINNER
Cathryn,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,10,NA,NA,NA,NA
Danny,Bryden,45,Intensive care consultant,Sheffield,3,10,NA,NA,NA,NA
Manisha,Parmar,27,Nursery nurse,Leicester,3,10,NA,NA,NA,NA
Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",3,10,NA,NA,NA,NA
Peter,Maloney,43,Sales manager,"Windsor, Berkshire",3,10,NA,NA,NA,NA
Ryan,Chong,38,Photographer,Bristol,3,10,NA,NA,NA,NA
Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",3,10,NA,NA,NA,NA
Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",3,10,NA,NA,NA,NA
Victoria,Chester,50,CEO of the charity Plantlife,Somerset,3,10,NA,NA,NA,NA
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,1,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",11,IN
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,1,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,8,IN
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,1,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,3,IN
Deborah,Manger,51,Dentist,Peterborough,4,1,Pineapple Cake,'Coffee Time',9,IN
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,1,Giant Jam Sandwich,Secret Squirrel Cake,7,IN
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,1,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,4,IN
Howard,Middleton,51,Council Worker,Sheffield,4,1,Passion Fruit and Coconut Cake,Black Forest Revisited,6,IN
Kimberley,Wilson,30,Psychologist,London,4,1,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",10,IN
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,1,Timperley Early Cake,Thyme 'Wildwood' Cake,2,IN
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,1,Lemon and Poppy Seed Cake,Chocolate Monster,5,IN
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,1,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,12,IN
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,1,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,13,OUT
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,1,Pecan and Apple Cake,Raspberry Chocolate Cake,1,STAR BAKER
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,2,Italian Grissini,Sweet and Savoury Yin Yang Bread,9,IN
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,2,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,11,IN
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,2,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,4,IN
Deborah,Manger,51,Dentist,Peterborough,4,2,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,8,IN
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,2,Giant Matchsticks,Sailor's Knot,2,IN
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,2,Rosemary and Parmesan Grissini,Harvest Crown,7,IN
Howard,Middleton,51,Council Worker,Sheffield,4,2,Moroccan Breadsticks,Picasso Sun Bread,10,IN
Kimberley,Wilson,30,Psychologist,London,4,2,Nigella Seed and Parmesan Breadsticks,Peace Bread,1,IN
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,2,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,6,IN
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,2,Twisty Rye Bread Sticks,Tribute Loaf,5,IN
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,2,Grissini with Salt,Roast Tomato Bread,12,OUT
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,2,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,3,STAR BAKER
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,2,NA,NA,NA,NA
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,3,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,5,IN
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,3,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,10,IN
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,3,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,8,IN
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,3,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,1,IN
Howard,Middleton,51,Council Worker,Sheffield,4,3,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,7,IN
Kimberley,Wilson,30,Psychologist,London,4,3,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,6,IN
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,3,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,2,IN
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,3,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,3,IN
Deborah,Manger,51,Dentist,Peterborough,4,3,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,9,OUT
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,3,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,11,OUT
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,3,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,4,STAR BAKER
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,3,NA,NA,NA,NA
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,3,NA,NA,NA,NA
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,4,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,2,IN
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,4,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,7,IN
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,4,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,1,IN
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,4,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),9,IN
Howard,Middleton,51,Council Worker,Sheffield,4,4,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,5,IN
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,4,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,3,IN
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,4,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",6,IN
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,4,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",8,OUT
Kimberley,Wilson,30,Psychologist,London,4,4,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie",4,STAR BAKER
Deborah,Manger,51,Dentist,Peterborough,4,4,NA,NA,NA,NA
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,4,NA,NA,NA,NA
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,4,NA,NA,NA,NA
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,4,NA,NA,NA,NA
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,5,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,5,IN
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,5,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,3,IN
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,5,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,2,IN
Howard,Middleton,51,Council Worker,Sheffield,4,5,Breakfast Traybake,Japanese Pagoda Tea Tower,8,IN
Kimberley,Wilson,30,Psychologist,London,4,5,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,7,IN
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,5,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,6,IN
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,5,Blueberry & Orange Traybake,Dalek,4,OUT
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,5,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,1,STAR BAKER
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,5,NA,NA,NA,NA
Deborah,Manger,51,Dentist,Peterborough,4,5,NA,NA,NA,NA
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,5,NA,NA,NA,NA
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,5,NA,NA,NA,NA
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,5,NA,NA,NA,NA
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,6,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,6,IN
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,6,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,4,IN
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,6,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,2,IN
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,6,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,5,IN
Kimberley,Wilson,30,Psychologist,London,4,6,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,3,IN
Howard,Middleton,51,Council Worker,Sheffield,4,6,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,7,OUT
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,6,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,1,STAR BAKER
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,6,NA,NA,NA,NA
Deborah,Manger,51,Dentist,Peterborough,4,6,NA,NA,NA,NA
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,6,NA,NA,NA,NA
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,6,NA,NA,NA,NA
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,6,NA,NA,NA,NA
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,6,NA,NA,NA,NA
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,7,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,1,IN
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,7,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,6,IN
Kimberley,Wilson,30,Psychologist,London,4,7,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",4,IN
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,7,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,2,IN
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,7,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,3,OUT
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,7,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,5,STAR BAKER
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,7,NA,NA,NA,NA
Deborah,Manger,51,Dentist,Peterborough,4,7,NA,NA,NA,NA
Howard,Middleton,51,Council Worker,Sheffield,4,7,NA,NA,NA,NA
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,7,NA,NA,NA,NA
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,7,NA,NA,NA,NA
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,7,NA,NA,NA,NA
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,7,NA,NA,NA,NA
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,8,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,4,IN
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,8,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",3,IN
Kimberley,Wilson,30,Psychologist,London,4,8,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,2,IN
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,8,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,5,OUT
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,8,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,1,STAR BAKER
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,8,NA,NA,NA,NA
Deborah,Manger,51,Dentist,Peterborough,4,8,NA,NA,NA,NA
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,8,NA,NA,NA,NA
Howard,Middleton,51,Council Worker,Sheffield,4,8,NA,NA,NA,NA
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,8,NA,NA,NA,NA
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,8,NA,NA,NA,NA
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,8,NA,NA,NA,NA
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,8,NA,NA,NA,NA
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,9,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,2,IN
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,9,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",4,IN
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,9,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,3,OUT
Kimberley,Wilson,30,Psychologist,London,4,9,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,1,STAR BAKER
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,9,NA,NA,NA,NA
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,9,NA,NA,NA,NA
Deborah,Manger,51,Dentist,Peterborough,4,9,NA,NA,NA,NA
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,9,NA,NA,NA,NA
Howard,Middleton,51,Council Worker,Sheffield,4,9,NA,NA,NA,NA
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,9,NA,NA,NA,NA
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,9,NA,NA,NA,NA
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,9,NA,NA,NA,NA
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,9,NA,NA,NA,NA
Kimberley,Wilson,30,Psychologist,London,4,10,Chicken and Pig Pie,Languages of Love Wedding Cake,1,Runner-up
Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",4,10,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",2,Runner-up
Frances,Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,10,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,3,WINNER
Ali,Imdad,25,Charity worker,"Saltley, Birmingham",4,10,NA,NA,NA,NA
Beca,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,10,NA,NA,NA,NA
Christine,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",4,10,NA,NA,NA,NA
Deborah,Manger,51,Dentist,Peterborough,4,10,NA,NA,NA,NA
Glenn,Cosby,37,English Teacher,"Teignmouth, Devon",4,10,NA,NA,NA,NA
Howard,Middleton,51,Council Worker,Sheffield,4,10,NA,NA,NA,NA
Lucy,Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",4,10,NA,NA,NA,NA
Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,4,10,NA,NA,NA,NA
Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,10,NA,NA,NA,NA
Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",4,10,NA,NA,NA,NA
Chetna,Makan,35,Fashion Designer,"Broadstairs, Kent",5,1,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,3,IN
Diana,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,1,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,5,IN
